n	k	d	fom	l	m	A	B	wt	fam	C	D
180	54	4	4.8000	10	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
216	62	4	4.5926	12	9	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
168	48	4	4.5714	7	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
216	56	4	4.1481	9	12	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
216	4	8	1.1852	12	9	x^0*y^4+x^0*y^5+x^6*y^0	x^0*y^5+x^1*y^0	5	css		
162	4	9	2.0000	9	9	x^0*y^4+x^0*y^5+x^6*y^0	x^0*y^5+x^1*y^0	5	css		
72	8	4	1.7778	6	6	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
72	32	2	1.7778	6	6	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^0+x^1*y^1+x^1*y^2	x^0*y^0+x^0*y^2+x^0*y^4+x^1*y^0+x^1*y^2+x^1*y^4	12	css		
162	8	6	1.7778	9	9	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
144	4	8	1.7778	6	12	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0	5	css		
108	2	9	1.5000	6	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
108	4	6	1.3333	6	9	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0	5	css		
216	8	4	0.5926	6	18	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
216	2	6	0.3333	9	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
108	8	4	1.1852	6	9	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
180	2	10	1.1111	10	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
72	2	6	1.0000	6	6	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
162	2	9	1.0000	9	9	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
72	4	4	0.8889	6	6	x^0*y^0+x^0*y^4+x^0*y^5	x^0*y^5+x^1*y^0	5	css		
144	8	4	0.8889	6	12	x^0*y^0+x^0*y^1+x^0*y^2	x^0*y^0+x^1*y^0+x^2*y^0	6	css		
144	2	6	0.5000	6	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
168	2	3	0.1071	7	12	x^0*y^5+x^2*y^0	x^0*y^2+x^3*y^0	4	css		
