n	k	d	fom	l	m	A	B	wt	fam	C	D
756	4	42	9.3333	18	21	x^1*y^0+x^5*y^3+x^7*y^6+x^16*y^2+x^17*y^10	x^1*y^0+x^3*y^1+x^7*y^8+x^11*y^5+x^15*y^12+x^16*y^3+x^16*y^6+x^17*y^7	13	css		
208	4	22	9.3077	13	8	x^2*y^6+x^5*y^1+x^7*y^4+x^10*y^3+x^11*y^1+x^12*y^3	x^0*y^1+x^0*y^5+x^5*y^1+x^11*y^1	10	css		
920	4	46	9.2000	10	46	x^2*y^16+x^3*y^6+x^3*y^12+x^4*y^8+x^4*y^40+x^7*y^24	x^0*y^44+x^1*y^32+x^2*y^27+x^3*y^1+x^3*y^10+x^4*y^35+x^6*y^8+x^6*y^27	14	css		
384	6	24	9.0000	24	8	x^12*y^1+x^16*y^0+x^16*y^4+x^17*y^6+x^17*y^7+x^20*y^4	x^0*y^2+x^1*y^1+x^6*y^0+x^13*y^2	10	css		
96	6	12	9.0000	4	12	x^0*y^8+x^0*y^11+x^1*y^2+x^1*y^3+x^1*y^11+x^3*y^3+x^3*y^6+x^3*y^8	x^0*y^7+x^0*y^9+x^1*y^5+x^2*y^2	12	css		
576	4	36	9.0000	12	24	x^2*y^13+x^3*y^11+x^4*y^2+x^5*y^1+x^5*y^14+x^8*y^3+x^8*y^14+x^10*y^2	x^0*y^10+x^1*y^3+x^2*y^5+x^3*y^19+x^5*y^20+x^6*y^21	14	css		
294	6	21	9.0000	21	7	x^8*y^4+x^13*y^2+x^16*y^1+x^18*y^5+x^20*y^6	x^1*y^6+x^5*y^1+x^6*y^0+x^8*y^2+x^12*y^1+x^20*y^4	11	css		
324	4	27	9.0000	6	27	x^3*y^11+x^3*y^16+x^3*y^24+x^4*y^22+x^5*y^23	x^0*y^6+x^0*y^18+x^1*y^22+x^3*y^6	9	css		
832	4	43	8.8894	32	13	x^9*y^3+x^16*y^11+x^18*y^1+x^23*y^4	x^0*y^1+x^8*y^8+x^14*y^3+x^16*y^1	8	css		
90	4	14	8.7111	15	3	x^2*y^1+x^3*y^2+x^4*y^2+x^6*y^0+x^11*y^1+x^14*y^0	x^2*y^2+x^4*y^1+x^5*y^2+x^6*y^1+x^7*y^0+x^8*y^1+x^12*y^2	13	css		
468	6	26	8.6667	39	6	x^0*y^5+x^8*y^3+x^16*y^3+x^17*y^2+x^27*y^2+x^28*y^0	x^6*y^3+x^8*y^2+x^10*y^2+x^19*y^2+x^24*y^1+x^27*y^3+x^36*y^4+x^38*y^5	14	css		
280	6	20	8.5714	10	14	x^1*y^6+x^3*y^13+x^4*y^10+x^6*y^6+x^8*y^3+x^8*y^6	x^0*y^7+x^2*y^7+x^4*y^4+x^9*y^3+x^9*y^6	11	css		
960	8	32	8.5333	15	32	x^0*y^15+x^1*y^9+x^2*y^7+x^6*y^3+x^7*y^20+x^11*y^25+x^11*y^28	x^0*y^13+x^0*y^29+x^4*y^10+x^4*y^16	11	css		
368	4	28	8.5217	46	4	x^6*y^0+x^17*y^0+x^24*y^0+x^33*y^1	x^4*y^1+x^7*y^1+x^30*y^0+x^37*y^2	8	css		
24	8	5	8.3333	4	3	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^1+x^2*y^0+x^2*y^1+x^2*y^2+x^3*y^1	x^0*y^1+x^2*y^0+x^3*y^0+x^3*y^1	12	css		
300	4	25	8.3333	5	30	x^1*y^8+x^3*y^8+x^3*y^25+x^4*y^11+x^4*y^12	x^1*y^0+x^1*y^22+x^2*y^5+x^2*y^10+x^3*y^6+x^4*y^13+x^4*y^17+x^4*y^25	13	css		
378	4	28	8.2963	9	21	x^4*y^14+x^6*y^10+x^7*y^1	x^0*y^3+x^0*y^19+x^6*y^11	6	css		
234	4	22	8.2735	3	39	x^0*y^9+x^0*y^22+x^1*y^8+x^1*y^30+x^1*y^36+x^2*y^27+x^2*y^31	x^0*y^1+x^0*y^36+x^2*y^4	10	css		
528	4	33	8.2500	12	22	x^1*y^16+x^8*y^16+x^8*y^18+x^9*y^8	x^2*y^11+x^2*y^20+x^4*y^18+x^4*y^21+x^5*y^3+x^7*y^9+x^8*y^6+x^9*y^11	12	css		
820	4	41	8.2000	41	10	x^5*y^3+x^14*y^9+x^17*y^2+x^36*y^6	x^1*y^9+x^20*y^6+x^23*y^8+x^31*y^9	8	css		
