n	k	d	fom	l	m	A	B	wt	fam	C	D
128	6	20	18.7500	4	16	x^0*y^2+x^1*y^5+x^2*y^8+x^3*y^8	x^0*y^9+x^0*y^10+x^2*y^2+x^2*y^6+x^2*y^7+x^2*y^11	10	css		
392	6	35	18.7500	7	28	x^2*y^0+x^2*y^21+x^4*y^9+x^5*y^7	x^0*y^9+x^3*y^4+x^4*y^6	7	css		
936	6	54	18.6923	26	18	x^7*y^2+x^7*y^8+x^9*y^15+x^10*y^6	x^5*y^17+x^6*y^2+x^10*y^10+x^20*y^7	8	css		
104	6	18	18.6923	26	2	x^0*y^0+x^4*y^1+x^9*y^1+x^13*y^0+x^14*y^0+x^21*y^0+x^22*y^0+x^23*y^0	x^2*y^1+x^12*y^1+x^15*y^0+x^17*y^0+x^18*y^0+x^24*y^0	14	css		
630	6	44	18.4381	21	15	x^2*y^14+x^9*y^6+x^16*y^7+x^19*y^4	x^0*y^12+x^5*y^6+x^6*y^9+x^10*y^5	8	css		
144	6	21	18.3750	3	24	x^0*y^4+x^1*y^23+x^2*y^4+x^2*y^11+x^2*y^12+x^2*y^15	x^0*y^5+x^0*y^15+x^0*y^19+x^1*y^0+x^1*y^9+x^1*y^16+x^2*y^11+x^2*y^21	14	css		
132	6	20	18.1818	11	6	x^0*y^5+x^1*y^4+x^2*y^2+x^3*y^3+x^3*y^4+x^4*y^0	x^2*y^1+x^2*y^2+x^3*y^4+x^4*y^4+x^6*y^3+x^6*y^4+x^8*y^0+x^9*y^5	14	css		
360	6	33	18.1500	9	20	x^0*y^8+x^0*y^15+x^3*y^19+x^6*y^11	x^1*y^11+x^2*y^16+x^2*y^18+x^4*y^9+x^5*y^6+x^8*y^18	10	css		
700	6	46	18.1371	10	35	x^2*y^3+x^6*y^19+x^7*y^30	x^0*y^11+x^3*y^20+x^7*y^6+x^9*y^11	7	css		
120	6	19	18.0500	5	12	x^0*y^4+x^1*y^1+x^3*y^5+x^4*y^8	x^0*y^1+x^0*y^3+x^1*y^3+x^3*y^2+x^3*y^11+x^4*y^2+x^4*y^4+x^4*y^5	12	css		
192	6	24	18.0000	16	6	x^0*y^3+x^2*y^2+x^6*y^4+x^10*y^4	x^0*y^0+x^1*y^4+x^2*y^4+x^7*y^4+x^11*y^1+x^13*y^0+x^13*y^4+x^15*y^3	12	css		
432	6	36	18.0000	27	8	x^1*y^5+x^7*y^7+x^8*y^7+x^19*y^1+x^19*y^3+x^20*y^2	x^1*y^0+x^6*y^1+x^6*y^2+x^18*y^0+x^21*y^1+x^25*y^0	12	css		
840	6	50	17.8571	7	60	x^0*y^6+x^1*y^7+x^1*y^30+x^2*y^10+x^4*y^51+x^6*y^39	x^2*y^15+x^3*y^16+x^4*y^36+x^6*y^34	10	css		
210	6	25	17.8571	7	15	x^0*y^5+x^0*y^9+x^0*y^10+x^3*y^4+x^3*y^5+x^3*y^6	x^2*y^10+x^3*y^2+x^5*y^0+x^5*y^1+x^6*y^2+x^6*y^4+x^6*y^7+x^6*y^12	14	css		
162	8	19	17.8272	27	3	x^5*y^2+x^14*y^0+x^17*y^1	x^2*y^1+x^6*y^1+x^16*y^0+x^23*y^0	7	css		
180	8	20	17.7778	15	6	x^0*y^1+x^0*y^5+x^7*y^3+x^12*y^2+x^14*y^3	x^3*y^3+x^7*y^4+x^9*y^5+x^14*y^3	9	css		
196	6	24	17.6327	14	7	x^4*y^5+x^6*y^1+x^8*y^4+x^11*y^6	x^6*y^3+x^11*y^2+x^13*y^0	7	css		
112	6	18	17.3571	2	28	x^0*y^4+x^0*y^5+x^0*y^13+x^0*y^17+x^0*y^27+x^1*y^13+x^1*y^22+x^1*y^25	x^0*y^1+x^0*y^3+x^0*y^7+x^0*y^24+x^1*y^22+x^1*y^27	14	css		
140	6	20	17.1429	7	10	x^0*y^0+x^1*y^8+x^2*y^8+x^5*y^0+x^6*y^1+x^6*y^4	x^1*y^1+x^2*y^7+x^4*y^9	9	css		
560	6	40	17.1429	35	8	x^12*y^5+x^30*y^7+x^32*y^7	x^17*y^3+x^18*y^1+x^19*y^5+x^25*y^6+x^26*y^7+x^31*y^1	9	css		
102	6	17	17.0000	17	3	x^5*y^1+x^7*y^2+x^8*y^2+x^15*y^1	x^0*y^2+x^5*y^0+x^5*y^1+x^6*y^0+x^9*y^0+x^10*y^0+x^10*y^1+x^13*y^2	12	css		
408	6	34	17.0000	51	4	x^15*y^0+x^15*y^1+x^25*y^3+x^40*y^3	x^0*y^0+x^6*y^2+x^9*y^1+x^15*y^1+x^19*y^3+x^31*y^3+x^36*y^0+x^48*y^0	12	css		
96	16	10	16.6667	24	2	x^2*y^1+x^6*y^0+x^10*y^1+x^12*y^0+x^20*y^1+x^22*y^1	x^6*y^0+x^8*y^0+x^16*y^0	9	css		
704	6	44	16.5000	44	8	x^1*y^6+x^5*y^6+x^7*y^2+x^14*y^1+x^14*y^7+x^27*y^0	x^7*y^4+x^8*y^5+x^15*y^4+x^24*y^1+x^32*y^0+x^37*y^1+x^41*y^2+x^43*y^1	14	css		
640	8	36	16.2000	8	40	x^0*y^30+x^3*y^30+x^3*y^39+x^4*y^10	x^1*y^29+x^3*y^19+x^5*y^18+x^7*y^13	8	css		
180	6	22	16.1333	45	2	x^4*y^1+x^25*y^0+x^29*y^1+x^41*y^1	x^3*y^1+x^11*y^1+x^25*y^1+x^33*y^1+x^40*y^0+x^44*y^1	10	css		
216	6	24	16.0000	18	6	x^2*y^1+x^3*y^2+x^9*y^5+x^10*y^3	x^2*y^3+x^4*y^4+x^5*y^3+x^7*y^2+x^9*y^2+x^9*y^5+x^14*y^5+x^15*y^4	12	css		
294	6	28	16.0000	7	21	x^0*y^4+x^2*y^19+x^4*y^2	x^1*y^13+x^3*y^0+x^4*y^19	6	css		
32	14	6	15.7500	4	4	x^0*y^1+x^1*y^0+x^1*y^1+x^1*y^2+x^2*y^0+x^2*y^1+x^2*y^3+x^3*y^0	x^0*y^0+x^0*y^1+x^0*y^2+x^1*y^1+x^2*y^0+x^3*y^0+x^3*y^1+x^3*y^3	16	css		
