n	k	d	fom	l	m	A	B	wt	fam	C	D
306	8	30	23.5294	51	3	x^9*y^2+x^11*y^2+x^21*y^1+x^45*y^1+x^49*y^2	x^27*y^0+x^29*y^2+x^33*y^1+x^37*y^2	9	css		
288	14	22	23.5278	24	6	x^1*y^3+x^10*y^0+x^13*y^3+x^16*y^0	x^5*y^2+x^13*y^1+x^20*y^0+x^22*y^1	8	css		
248	8	27	23.5161	31	4	x^19*y^2+x^20*y^1+x^21*y^2+x^25*y^1	x^2*y^3+x^4*y^1+x^25*y^1+x^25*y^3	8	css		
248	10	24	23.2258	31	4	x^3*y^0+x^11*y^3+x^22*y^2	x^8*y^0+x^9*y^2+x^12*y^1+x^21*y^3+x^23*y^0	8	css		
152	8	21	23.2105	4	19	x^2*y^8+x^2*y^14+x^3*y^4+x^3*y^9	x^1*y^2+x^1*y^8+x^2*y^10+x^2*y^18	8	css		
168	12	18	23.1429	6	14	x^0*y^2+x^0*y^6+x^1*y^8+x^4*y^12	x^0*y^2+x^2*y^1+x^3*y^10+x^5*y^7	8	css		
234	8	26	23.1111	3	39	x^0*y^12+x^1*y^20+x^2*y^7	x^0*y^1+x^0*y^30+x^1*y^22+x^2*y^14+x^2*y^34	8	css		
200	8	24	23.0400	10	10	x^2*y^2+x^5*y^3+x^6*y^7+x^8*y^8+x^9*y^6	x^1*y^4+x^3*y^9+x^6*y^8+x^8*y^5	9	css		
294	8	29	22.8844	7	21	x^0*y^16+x^1*y^7+x^5*y^8+x^6*y^20	x^1*y^9+x^5*y^20+x^6*y^2+x^6*y^13	8	css		
120	14	14	22.8667	6	10	x^1*y^1+x^2*y^1+x^4*y^4+x^5*y^8	x^2*y^3+x^2*y^6+x^5*y^3+x^5*y^6	8	css		
240	8	26	22.5333	6	20	x^0*y^3+x^3*y^11+x^5*y^9+x^5*y^19	x^0*y^5+x^1*y^3+x^1*y^6+x^5*y^10	8	css		
320	8	30	22.5000	16	10	x^0*y^7+x^7*y^5+x^9*y^4+x^9*y^6+x^15*y^8	x^0*y^0+x^0*y^6+x^7*y^5+x^8*y^6	9	css		
256	10	24	22.5000	32	4	x^1*y^2+x^11*y^3+x^12*y^0+x^22*y^1	x^1*y^3+x^15*y^1+x^23*y^2+x^31*y^3	8	css		
308	12	24	22.4416	14	11	x^0*y^6+x^2*y^8+x^10*y^4	x^2*y^8+x^4*y^10+x^12*y^3	6	css		
324	8	30	22.2222	54	3	x^4*y^0+x^10*y^2+x^12*y^1+x^21*y^0+x^25*y^0	x^15*y^2+x^21*y^1+x^33*y^0	8	css		
196	8	23	21.5918	7	14	x^0*y^4+x^2*y^11+x^3*y^8+x^5*y^3	x^1*y^9+x^1*y^10+x^4*y^6+x^5*y^12	8	css		
136	8	19	21.2353	17	4	x^1*y^0+x^7*y^2+x^8*y^2+x^10*y^0	x^1*y^3+x^2*y^2+x^13*y^3+x^16*y^2	8	css		
208	12	19	20.8269	4	26	x^0*y^0+x^1*y^8+x^2*y^8+x^3*y^10	x^2*y^3+x^2*y^13+x^2*y^15+x^2*y^23	8	css		
260	8	26	20.8000	5	26	x^0*y^11+x^0*y^21+x^3*y^4+x^3*y^13	x^0*y^8+x^1*y^7+x^2*y^16+x^3*y^3+x^4*y^24	9	css		
176	10	19	20.5114	22	4	x^9*y^2+x^10*y^3+x^13*y^2+x^14*y^3	x^5*y^2+x^6*y^1+x^10*y^0+x^15*y^3	8	css		
270	8	26	20.0296	27	5	x^8*y^4+x^23*y^1+x^25*y^0	x^5*y^1+x^19*y^4+x^22*y^3	6	css		
288	10	24	20.0000	12	12	x^0*y^2+x^0*y^7+x^0*y^8+x^9*y^7	x^1*y^1+x^5*y^2+x^7*y^9+x^10*y^0	8	css		
320	16	20	20.0000	4	40	x^0*y^12+x^1*y^8+x^1*y^11+x^3*y^3	x^1*y^16+x^2*y^4+x^2*y^30+x^2*y^38	8	css		
162	8	20	19.7531	27	3	x^2*y^1+x^3*y^2+x^5*y^2+x^18*y^2+x^26*y^0	x^5*y^1+x^9*y^0+x^14*y^2+x^25*y^0	9	css		
198	8	22	19.5556	3	33	x^0*y^28+x^1*y^23+x^2*y^12	x^0*y^32+x^1*y^28+x^2*y^15	6	css		
300	12	22	19.3600	5	30	x^3*y^6+x^3*y^23+x^4*y^1+x^4*y^18	x^0*y^4+x^1*y^8+x^1*y^24+x^3*y^18	8	css		
210	6	26	19.3143	5	21	x^0*y^9+x^2*y^6+x^3*y^15	x^0*y^14+x^3*y^4+x^3*y^19+x^4*y^17	7	css		
280	6	30	19.2857	28	5	x^4*y^0+x^9*y^1+x^14*y^2+x^17*y^4+x^18*y^1	x^0*y^4+x^22*y^4+x^26*y^3	8	css		
360	6	34	19.2667	60	3	x^1*y^2+x^5*y^0+x^28*y^0+x^51*y^2	x^4*y^1+x^14*y^1+x^19*y^1+x^51*y^1	8	css		
180	6	24	19.2000	45	2	x^18*y^0+x^19*y^0+x^21*y^1+x^31*y^0	x^27*y^0+x^32*y^0+x^33*y^0+x^38*y^1	8	css		
320	6	32	19.2000	8	20	x^1*y^11+x^1*y^12+x^5*y^10+x^5*y^12	x^0*y^3+x^1*y^18+x^2*y^8+x^7*y^11	8	css		
184	8	21	19.1739	2	46	x^0*y^12+x^0*y^16+x^1*y^12+x^1*y^32	x^0*y^20+x^0*y^21+x^0*y^35+x^0*y^44	8	css		
196	6	25	19.1327	7	14	x^1*y^6+x^1*y^12+x^2*y^10+x^4*y^7+x^6*y^7	x^1*y^1+x^1*y^4+x^3*y^3+x^5*y^6	9	css		
342	6	33	19.1053	3	57	x^1*y^9+x^1*y^20+x^2*y^35+x^2*y^47	x^0*y^46+x^0*y^54+x^2*y^16+x^2*y^47	8	css		
322	6	32	19.0807	23	7	x^1*y^5+x^2*y^4+x^10*y^2	x^0*y^0+x^0*y^5+x^2*y^1	6	css		
126	6	20	19.0476	9	7	x^1*y^3+x^1*y^6+x^3*y^0+x^4*y^0+x^5*y^5	x^2*y^5+x^4*y^2+x^4*y^3+x^6*y^1	9	css		
182	6	24	18.9890	13	7	x^0*y^4+x^2*y^4+x^8*y^2+x^9*y^4+x^10*y^5	x^2*y^0+x^2*y^6+x^8*y^4	8	css		
198	6	25	18.9394	33	3	x^6*y^2+x^13*y^0+x^24*y^0+x^26*y^2	x^9*y^1+x^18*y^1+x^19*y^2+x^23*y^0	8	css		
140	6	21	18.9000	7	10	x^0*y^1+x^0*y^9+x^3*y^7+x^5*y^0+x^6*y^4	x^0*y^8+x^1*y^6+x^3*y^0+x^6*y^3	9	css		
184	6	24	18.7826	23	4	x^0*y^2+x^1*y^1+x^13*y^0+x^15*y^3	x^2*y^2+x^11*y^1+x^17*y^0+x^21*y^3	8	css		
90	10	13	18.7778	3	15	x^0*y^2+x^2*y^0+x^2*y^2+x^2*y^4	x^0*y^13+x^1*y^2+x^1*y^4+x^1*y^8	8	css		
216	6	26	18.7778	2	54	x^0*y^33+x^0*y^48+x^1*y^2+x^1*y^21	x^1*y^13+x^1*y^33+x^1*y^38+x^1*y^42	8	css		
288	6	30	18.7500	8	18	x^0*y^5+x^4*y^6+x^5*y^11+x^7*y^2	x^0*y^17+x^1*y^2+x^2*y^10+x^7*y^11	8	css		
120	10	15	18.7500	3	20	x^0*y^7+x^0*y^12+x^1*y^9+x^2*y^19	x^0*y^4+x^1*y^17+x^2*y^9+x^2*y^12	8	css		
200	6	25	18.7500	4	25	x^0*y^2+x^1*y^10+x^2*y^22+x^3*y^1	x^0*y^23+x^0*y^24+x^2*y^8+x^2*y^18	8	css		
234	6	27	18.6923	9	13	x^0*y^4+x^1*y^11+x^3*y^3+x^7*y^9	x^1*y^12+x^5*y^2+x^7*y^1+x^8*y^6	8	css		
350	6	33	18.6686	35	5	x^25*y^3+x^29*y^3+x^31*y^0	x^2*y^1+x^12*y^4+x^26*y^0+x^30*y^0	7	css		
126	12	14	18.6667	9	7	x^0*y^4+x^2*y^3+x^3*y^3+x^7*y^1+x^8*y^4	x^0*y^4+x^4*y^4+x^5*y^4	8	css		
252	6	28	18.6667	42	3	x^3*y^1+x^24*y^0+x^25*y^1+x^31*y^1	x^11*y^2+x^17*y^2+x^26*y^2+x^35*y^0	8	css		
330	6	32	18.6182	5	33	x^0*y^12+x^2*y^10+x^2*y^30+x^2*y^31	x^1*y^29+x^3*y^2+x^4*y^5+x^4*y^20	8	css		
156	6	22	18.6154	6	13	x^1*y^12+x^3*y^3+x^3*y^8+x^4*y^6	x^0*y^2+x^0*y^5+x^1*y^8+x^4*y^8	8	css		
238	6	27	18.3782	7	17	x^0*y^5+x^1*y^2+x^3*y^0+x^6*y^13	x^3*y^0+x^5*y^14+x^6*y^15	7	css		
128	12	14	18.3750	16	4	x^1*y^1+x^4*y^1+x^6*y^2+x^9*y^1	x^1*y^3+x^7*y^3+x^9*y^2+x^15*y^0	8	css		
144	6	21	18.3750	3	24	x^0*y^3+x^0*y^16+x^2*y^4+x^2*y^23	x^1*y^6+x^1*y^23+x^2*y^5+x^2*y^21	8	css		
