n	k	d_bposd	fom	l	m	A	B
532	6	40	18.0451	7	38	x^1*y^0+x^5*y^12+x^6*y^33	x^1*y^21+x^2*y^16+x^4*y^23
588	6	42	18.0000	42	7	x^9*y^6+x^10*y^5+x^31*y^1	x^5*y^6+x^27*y^5+x^33*y^0
770	6	48	17.9532	35	11	x^8*y^8+x^11*y^1+x^17*y^0	x^0*y^4+x^32*y^2+x^34*y^1
980	6	54	17.8531	14	35	x^5*y^22+x^9*y^6+x^9*y^31	x^6*y^3+x^9*y^26+x^11*y^16
792	8	42	17.8182	12	33	x^4*y^30+x^6*y^1+x^6*y^11	x^3*y^10+x^5*y^5+x^7*y^12
180	8	20	17.7778	5	18	x^0*y^5+x^1*y^2+x^3*y^15	x^4*y^4+x^4*y^5+x^4*y^15
392	6	34	17.6939	14	14	x^0*y^10+x^1*y^5+x^1*y^9	x^3*y^6+x^7*y^5+x^13*y^8
490	6	38	17.6816	35	7	x^11*y^0+x^23*y^3+x^28*y^0	x^10*y^1+x^16*y^3+x^21*y^6
882	12	36	17.6327	21	21	x^7*y^11+x^8*y^15+x^10*y^2	x^3*y^8+x^13*y^7+x^15*y^13
588	8	36	17.6327	7	42	x^3*y^6+x^4*y^20+x^6*y^10	x^0*y^12+x^4*y^2+x^6*y^28
308	6	30	17.5325	22	7	x^0*y^4+x^1*y^0+x^11*y^5	x^2*y^1+x^2*y^3+x^11*y^0
528	8	34	17.5152	12	22	x^3*y^11+x^10*y^7+x^11*y^15	x^0*y^3+x^1*y^21+x^11*y^13
594	8	36	17.4545	9	33	x^0*y^11+x^7*y^30+x^8*y^28	x^1*y^1+x^7*y^27+x^7*y^32
728	6	46	17.4396	13	28	x^1*y^13+x^2*y^21+x^9*y^18	x^3*y^2+x^5*y^22+x^6*y^20
798	6	48	17.3233	19	21	x^10*y^3+x^10*y^16+x^16*y^5	x^4*y^1+x^13*y^11+x^14*y^2
616	6	42	17.1818	14	22	x^5*y^7+x^9*y^16+x^11*y^1	x^5*y^2+x^10*y^2+x^13*y^14
180	12	16	17.0667	15	6	x^12*y^5+x^13*y^2+x^14*y^2	x^0*y^5+x^1*y^2+x^5*y^2
952	6	52	17.0420	34	14	x^14*y^8+x^15*y^6+x^31*y^5	x^15*y^6+x^21*y^7+x^29*y^2
238	6	26	17.0420	7	17	x^1*y^12+x^2*y^15+x^6*y^12	x^0*y^5+x^4*y^1+x^6*y^3
686	6	44	16.9329	7	49	x^1*y^0+x^4*y^30+x^6*y^31	x^1*y^21+x^1*y^27+x^6*y^20
630	6	42	16.8000	21	15	x^0*y^9+x^8*y^6+x^17*y^7	x^6*y^11+x^17*y^7+x^18*y^0
896	6	50	16.7411	28	16	x^11*y^0+x^17*y^15+x^22*y^10	x^7*y^8+x^8*y^12+x^26*y^12
518	6	38	16.7259	7	37	x^0*y^35+x^2*y^24+x^6*y^35	x^2*y^26+x^3*y^6+x^5*y^10
96	16	10	16.6667	24	2	x^18*y^0+x^20*y^1+x^22*y^0	x^7*y^0+x^15*y^0+x^17*y^1
378	8	28	16.5926	21	9	x^7*y^0+x^11*y^7+x^18*y^5	x^0*y^5+x^4*y^4+x^20*y^0
910	6	50	16.4835	13	35	x^5*y^6+x^5*y^25+x^11*y^17	x^8*y^7+x^8*y^18+x^10*y^19
210	6	24	16.4571	7	15	x^0*y^3+x^1*y^11+x^5*y^7	x^1*y^6+x^3*y^1+x^4*y^7
144	12	14	16.3333	12	6	x^1*y^5+x^4*y^0+x^10*y^1	x^4*y^5+x^5*y^3+x^9*y^4
124	10	14	15.8065	31	2	x^5*y^0+x^9*y^1+x^22*y^1	x^10*y^1+x^16*y^0+x^26*y^1
350	6	30	15.4286	35	5	x^0*y^3+x^18*y^2+x^33*y^4	x^0*y^3+x^4*y^2+x^26*y^1
700	12	30	15.4286	25	14	x^1*y^12+x^10*y^6+x^20*y^8	x^4*y^2+x^4*y^10+x^14*y^12
468	8	30	15.3846	39	6	x^15*y^1+x^27*y^2+x^36*y^0	x^14*y^2+x^21*y^2+x^31*y^5
378	12	22	15.3651	21	9	x^4*y^5+x^6*y^0+x^13*y^4	x^2*y^1+x^3*y^8+x^8*y^7
756	8	38	15.2804	18	21	x^1*y^9+x^5*y^5+x^11*y^0	x^5*y^0+x^9*y^18+x^11*y^7
266	6	26	15.2481	7	19	x^2*y^3+x^3*y^11+x^5*y^14	x^1*y^15+x^2*y^9+x^4*y^13
684	8	36	15.1579	6	57	x^2*y^22+x^4*y^52+x^4*y^54	x^1*y^29+x^1*y^52+x^5*y^47
364	6	30	14.8352	13	14	x^2*y^2+x^6*y^6+x^11*y^1	x^3*y^10+x^4*y^13+x^10*y^5
196	6	22	14.8163	14	7	x^2*y^6+x^4*y^3+x^6*y^1	x^9*y^5+x^10*y^2+x^11*y^0
372	8	26	14.5376	31	6	x^8*y^2+x^18*y^0+x^23*y^4	x^0*y^5+x^4*y^3+x^6*y^1
546	6	36	14.2418	7	39	x^1*y^13+x^5*y^0+x^6*y^22	x^0*y^37+x^1*y^24+x^3*y^35
144	8	16	14.2222	24	3	x^10*y^1+x^18*y^1+x^20*y^1	x^2*y^0+x^9*y^2+x^22*y^1
54	12	8	14.2222	3	9	x^0*y^4+x^1*y^1+x^2*y^1	x^0*y^3+x^1*y^0+x^2*y^3
444	8	28	14.1261	37	6	x^8*y^3+x^10*y^5+x^11*y^1	x^18*y^4+x^26*y^0+x^35*y^2
516	8	30	13.9535	43	6	x^6*y^4+x^37*y^2+x^41*y^0	x^10*y^5+x^24*y^3+x^29*y^1
700	6	40	13.7143	35	10	x^6*y^7+x^14*y^8+x^18*y^5	x^25*y^5+x^28*y^4+x^34*y^8
150	8	16	13.6533	15	5	x^1*y^1+x^3*y^3+x^10*y^0	x^2*y^1+x^5*y^3+x^13*y^3
